Phillips County, Montana, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,0.60
201002,0.17
201003,0.14
201004,1.61
201005,3.77
201006,2.94
201007,1.50
201008,2.07
201009,2.88
201010,0.23
201011,0.88
201012,0.87
201101,1.50
201102,0.55
201103,1.13
201104,1.68
201105,6.58
201106,3.06
201107,1.43
201108,0.99
201109,0.20
201110,1.05
201111,0.50
201112,0.23
201201,0.11
201202,0.58
201203,0.48
201204,1.96
201205,3.72
201206,1.69
201207,0.65
201208,0.67
201209,0.07
201210,1.14
201211,0.69
201212,0.37
201301,0.61
201302,0.07
201303,0.49
201304,1.06
201305,3.42
201306,4.95
201307,1.51
201308,1.53
201309,1.85
201310,0.20
201311,0.28
201312,0.84
201401,0.19
201402,0.21
201403,0.63
201404,0.72
201405,1.44
201406,3.19
201407,0.86
201408,5.46
201409,1.44
201410,0.62
201411,0.51
201412,0.15
201501,0.49
201502,0.37
201503,0.59
201504,1.16
201505,1.84
201506,1.20
201507,3.25
201508,1.09
201509,1.13
201510,1.34
201511,0.60
201512,0.45
201601,0.27
201602,0.24
201603,0.32
201604,3.27
201605,4.19
201606,1.85
201607,3.96
201608,0.73
201609,2.61
201610,3.56
201611,0.10
201612,0.28
