Franklin County, North Carolina, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,4.52
201002,2.65
201003,4.12
201004,1.32
201005,5.56
201006,1.76
201007,3.47
201008,4.02
201009,6.51
201010,2.79
201011,1.21
201012,2.86
201101,1.40
201102,1.11
201103,4.79
201104,3.09
201105,2.73
201106,1.64
201107,6.13
201108,7.42
201109,3.17
201110,2.85
201111,3.73
201112,1.99
201201,1.83
201202,1.90
201203,3.77
201204,2.81
201205,6.24
201206,2.79
201207,5.86
201208,5.97
201209,5.03
201210,2.54
201211,0.55
201212,3.21
201301,3.59
201302,3.91
201303,2.29
201304,4.06
201305,2.54
201306,8.06
201307,5.45
201308,2.26
201309,3.55
201310,1.94
201311,3.67
201312,5.85
201401,2.61
201402,2.18
201403,5.34
201404,5.32
201405,3.98
201406,3.16
201407,5.61
201408,4.20
201409,6.10
201410,4.55
201411,3.57
201412,4.48
201501,4.03
201502,4.84
201503,3.99
201504,3.62
201505,2.73
201506,4.28
201507,3.91
201508,2.23
201509,5.63
201510,4.31
201511,5.97
201512,5.55
201601,2.44
201602,4.76
201603,2.94
201604,3.39
201605,4.62
201606,6.76
201607,6.13
201608,1.77
201609,5.47
201610,7.42
201611,0.57
201612,1.86
