Golden Valley County, North Dakota, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,0.37
201002,0.32
201003,0.36
201004,1.43
201005,4.49
201006,4.30
201007,2.05
201008,1.06
201009,2.80
201010,0.47
201011,1.40
201012,0.56
201101,1.34
201102,0.63
201103,0.70
201104,2.28
201105,7.05
201106,2.53
201107,3.13
201108,2.08
201109,0.46
201110,0.83
201111,0.19
201112,0.32
201201,0.21
201202,0.33
201203,0.04
201204,1.75
201205,2.16
201206,1.48
201207,2.24
201208,1.39
201209,0.16
201210,1.73
201211,0.52
201212,0.70
201301,0.28
201302,0.25
201303,0.55
201304,1.45
201305,7.35
201306,2.86
201307,2.28
201308,1.38
201309,2.01
201310,2.36
201311,0.37
201312,1.36
201401,0.22
201402,0.27
201403,1.09
201404,1.74
201405,2.61
201406,3.02
201407,1.57
201408,6.28
201409,1.42
201410,0.75
201411,0.67
201412,0.47
201501,0.39
201502,0.27
201503,0.47
201504,0.65
201505,1.53
201506,3.84
201507,1.38
201508,1.80
201509,2.39
201510,1.14
201511,0.29
201512,0.34
201601,0.29
201602,0.53
201603,0.31
201604,2.89
201605,1.78
201606,2.27
201607,2.96
201608,1.66
201609,3.96
201610,1.07
201611,0.27
201612,0.62
