Kidder County, North Dakota, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,0.77
201002,0.66
201003,1.05
201004,1.74
201005,3.53
201006,2.52
201007,2.60
201008,1.58
201009,4.17
201010,0.74
201011,0.43
201012,1.23
201101,1.25
201102,0.31
201103,1.26
201104,1.65
201105,2.53
201106,5.46
201107,4.77
201108,3.35
201109,1.08
201110,1.28
201111,0.11
201112,0.37
201201,0.21
201202,0.46
201203,0.16
201204,2.34
201205,2.23
201206,2.69
201207,2.59
201208,2.58
201209,0.14
201210,1.58
201211,0.66
201212,0.41
201301,0.17
201302,0.46
201303,0.66
201304,1.20
201305,5.03
201306,2.93
201307,0.80
201308,1.01
201309,3.12
201310,4.91
201311,0.05
201312,1.16
201401,0.53
201402,0.21
201403,0.44
201404,2.17
201405,1.32
201406,5.42
201407,1.48
201408,4.37
201409,1.35
201410,0.42
201411,0.81
201412,0.40
201501,0.64
201502,0.51
201503,0.41
201504,0.58
201505,4.92
201506,3.88
201507,1.86
201508,1.16
201509,0.52
201510,1.31
201511,0.36
201512,0.91
201601,0.19
201602,0.57
201603,0.59
201604,2.94
201605,1.47
201606,2.03
201607,5.68
201608,4.42
201609,2.49
201610,0.47
201611,1.05
201612,2.06
