Williams County, North Dakota, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,0.75
201002,0.25
201003,0.27
201004,1.07
201005,4.35
201006,2.90
201007,2.65
201008,2.71
201009,2.05
201010,1.14
201011,0.94
201012,1.18
201101,0.99
201102,0.37
201103,0.81
201104,2.46
201105,6.11
201106,2.61
201107,2.31
201108,1.44
201109,1.34
201110,0.88
201111,0.28
201112,0.21
201201,0.18
201202,0.27
201203,0.17
201204,1.58
201205,2.48
201206,3.54
201207,2.56
201208,0.60
201209,0.09
201210,1.51
201211,1.09
201212,0.47
201301,0.48
201302,0.24
201303,1.26
201304,0.57
201305,4.62
201306,4.74
201307,2.53
201308,2.12
201309,2.16
201310,1.81
201311,0.29
201312,0.89
201401,0.21
201402,0.28
201403,0.32
201404,1.65
201405,1.80
201406,2.66
201407,1.36
201408,3.04
201409,1.24
201410,0.36
201411,0.47
201412,0.10
201501,0.43
201502,0.44
201503,0.46
201504,0.37
201505,1.76
201506,2.90
201507,1.74
201508,1.30
201509,2.48
201510,1.10
201511,0.36
201512,0.49
201601,0.29
201602,0.51
201603,0.20
201604,1.88
201605,2.30
201606,2.43
201607,2.46
201608,0.54
201609,3.67
201610,1.42
201611,0.36
201612,1.22
