Kimball County, Nebraska, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,0.04
201002,0.99
201003,0.54
201004,4.24
201005,2.70
201006,2.98
201007,3.20
201008,1.34
201009,0.04
201010,1.12
201011,0.73
201012,0.30
201101,0.69
201102,0.54
201103,0.70
201104,1.94
201105,4.08
201106,2.91
201107,3.48
201108,1.64
201109,0.62
201110,1.68
201111,0.45
201112,0.32
201201,0.14
201202,0.52
201203,0.01
201204,2.10
201205,0.95
201206,0.76
201207,2.31
201208,0.11
201209,0.58
201210,0.72
201211,0.11
201212,0.33
201301,0.18
201302,0.71
201303,0.32
201304,2.09
201305,2.19
201306,0.89
201307,1.48
201308,1.29
201309,5.03
201310,2.16
201311,0.37
201312,0.12
201401,0.64
201402,1.27
201403,0.71
201404,0.54
201405,3.38
201406,3.04
201407,2.35
201408,1.66
201409,2.66
201410,0.62
201411,0.62
201412,0.98
201501,0.22
201502,0.58
201503,0.12
201504,4.23
201505,7.02
201506,2.73
201507,3.04
201508,2.09
201509,0.48
201510,1.91
201511,0.90
201512,1.22
201601,0.23
201602,0.94
201603,1.63
201604,2.56
201605,2.54
201606,1.85
201607,1.77
201608,2.35
201609,1.24
201610,0.51
201611,0.42
201612,0.95
