Taos County, New Mexico, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,1.36
201002,1.64
201003,2.32
201004,0.89
201005,0.52
201006,0.28
201007,3.51
201008,1.71
201009,1.54
201010,1.20
201011,0.38
201012,1.16
201101,0.44
201102,1.17
201103,0.61
201104,1.22
201105,0.86
201106,0.02
201107,2.24
201108,1.70
201109,2.53
201110,2.07
201111,1.16
201112,1.46
201201,0.65
201202,1.01
201203,0.55
201204,0.96
201205,1.06
201206,0.28
201207,1.87
201208,2.11
201209,1.70
201210,0.47
201211,0.55
201212,1.53
201301,0.75
201302,1.05
201303,0.63
201304,0.75
201305,0.26
201306,0.54
201307,3.52
201308,2.06
201309,4.18
201310,1.72
201311,2.18
201312,0.49
201401,0.24
201402,0.41
201403,0.97
201404,1.44
201405,1.91
201406,0.49
201407,3.60
201408,2.24
201409,0.97
201410,1.01
201411,1.56
201412,1.44
201501,1.40
201502,2.05
201503,1.66
201504,0.68
201505,3.78
201506,1.24
201507,3.19
201508,1.53
201509,0.48
201510,2.44
201511,1.90
201512,1.59
201601,1.34
201602,0.97
201603,0.53
201604,2.90
201605,1.39
201606,0.83
201607,1.19
201608,2.84
201609,1.47
201610,0.20
201611,1.49
201612,2.05
