New York County, New York, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,1.95
201002,5.54
201003,9.68
201004,2.82
201005,3.04
201006,2.03
201007,2.95
201008,3.16
201009,3.36
201010,4.46
201011,2.06
201012,3.84
201101,3.96
201102,3.48
201103,6.24
201104,5.63
201105,4.76
201106,3.62
201107,2.57
201108,17.49
201109,7.88
201110,5.49
201111,3.26
201112,4.22
201201,2.77
201202,1.35
201203,1.08
201204,3.24
201205,5.09
201206,3.83
201207,3.48
201208,2.99
201209,4.04
201210,3.19
201211,1.44
201212,4.96
201301,2.57
201302,3.43
201303,2.79
201304,1.38
201305,6.32
201306,8.85
201307,2.95
201308,3.19
201309,2.46
201310,0.44
201311,3.18
201312,4.68
201401,2.66
201402,4.98
201403,3.86
201404,6.96
201405,4.82
201406,4.07
201407,5.22
201408,2.51
201409,1.34
201410,4.78
201411,4.34
201412,5.86
201501,4.94
201502,2.03
201503,4.60
201504,2.04
201505,1.94
201506,5.43
201507,3.20
201508,1.98
201509,2.76
201510,3.81
201511,1.78
201512,4.76
201601,3.94
201602,4.04
201603,1.30
201604,1.68
201605,3.73
201606,2.41
201607,6.04
201608,1.48
201609,2.51
201610,3.97
201611,5.00
201612,3.06
