Tioga County, New York, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,2.96
201002,2.35
201003,3.46
201004,1.94
201005,2.56
201006,4.65
201007,3.07
201008,3.91
201009,2.60
201010,7.12
201011,2.27
201012,2.38
201101,1.49
201102,4.10
201103,4.56
201104,8.79
201105,6.61
201106,3.17
201107,1.68
201108,6.14
201109,13.07
201110,4.19
201111,2.78
201112,2.74
201201,2.82
201202,0.82
201203,1.71
201204,2.70
201205,3.79
201206,3.18
201207,3.27
201208,5.26
201209,3.61
201210,3.68
201211,1.11
201212,5.66
201301,2.26
201302,1.86
201303,1.49
201304,3.23
201305,3.03
201306,4.88
201307,6.49
201308,4.89
201309,3.20
201310,2.63
201311,3.60
201312,2.98
201401,2.29
201402,2.70
201403,2.84
201404,2.72
201405,4.15
201406,4.20
201407,3.55
201408,3.87
201409,2.08
201410,3.05
201411,2.45
201412,2.84
201501,1.47
201502,1.89
201503,1.76
201504,4.50
201505,2.29
201506,7.56
201507,4.55
201508,2.13
201509,2.76
201510,2.42
201511,1.90
201512,3.28
201601,1.58
201602,4.21
201603,1.47
201604,2.48
201605,2.43
201606,2.38
201607,2.28
201608,4.19
201609,1.70
201610,6.28
201611,1.65
201612,3.03
