Ashland County, Ohio, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,1.49
201002,2.58
201003,2.68
201004,1.80
201005,3.68
201006,7.89
201007,3.22
201008,2.26
201009,2.69
201010,1.97
201011,4.29
201012,1.32
201101,1.36
201102,4.87
201103,3.80
201104,5.60
201105,7.74
201106,3.79
201107,3.93
201108,4.05
201109,5.00
201110,4.57
201111,4.54
201112,4.43
201201,3.15
201202,2.03
201203,2.91
201204,1.43
201205,3.39
201206,2.55
201207,3.03
201208,2.72
201209,6.24
201210,6.41
201211,0.89
201212,3.77
201301,2.19
201302,2.12
201303,1.89
201304,4.25
201305,1.85
201306,6.80
201307,6.53
201308,2.16
201309,2.73
201310,4.21
201311,2.73
201312,3.80
201401,1.67
201402,2.04
201403,1.84
201404,5.75
201405,4.19
201406,6.78
201407,2.59
201408,4.32
201409,1.89
201410,2.53
201411,1.82
201412,1.96
201501,3.00
201502,1.56
201503,2.75
201504,3.91
201505,4.11
201506,7.10
201507,2.69
201508,1.67
201509,3.61
201510,2.79
201511,2.00
201512,4.15
201601,1.34
201602,3.12
201603,3.97
201604,3.29
201605,3.66
201606,2.59
201607,2.30
201608,3.58
201609,3.65
201610,3.49
201611,1.14
201612,2.82
