Athens County, Ohio, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,2.85
201002,2.84
201003,3.25
201004,1.15
201005,7.86
201006,6.40
201007,5.06
201008,4.48
201009,2.49
201010,2.10
201011,3.17
201012,2.96
201101,1.73
201102,5.06
201103,5.53
201104,9.19
201105,4.68
201106,4.40
201107,3.42
201108,4.68
201109,5.98
201110,5.63
201111,4.83
201112,2.91
201201,3.87
201202,1.49
201203,4.74
201204,2.05
201205,5.05
201206,1.74
201207,3.92
201208,2.61
201209,4.59
201210,3.14
201211,0.47
201212,6.49
201301,2.74
201302,1.59
201303,2.91
201304,1.99
201305,2.64
201306,6.30
201307,6.93
201308,4.23
201309,2.43
201310,2.43
201311,3.24
201312,4.69
201401,1.85
201402,3.43
201403,2.11
201404,4.84
201405,3.16
201406,4.25
201407,3.09
201408,3.60
201409,0.87
201410,3.98
201411,1.76
201412,3.17
201501,2.27
201502,1.56
201503,5.10
201504,5.72
201505,1.67
201506,7.59
201507,4.92
201508,2.70
201509,5.50
201510,2.61
201511,2.21
201512,4.09
201601,1.45
201602,3.74
201603,3.66
201604,3.03
201605,4.29
201606,4.12
201607,3.90
201608,2.11
201609,2.40
201610,2.96
201611,0.76
201612,4.14
