Delaware County, Ohio, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,1.58
201002,1.94
201003,2.36
201004,1.84
201005,4.23
201006,6.23
201007,3.57
201008,2.73
201009,2.09
201010,1.43
201011,4.21
201012,1.25
201101,1.15
201102,4.55
201103,4.27
201104,6.49
201105,6.10
201106,3.96
201107,5.69
201108,3.54
201109,5.39
201110,4.15
201111,4.89
201112,4.91
201201,2.96
201202,1.33
201203,3.24
201204,2.44
201205,3.51
201206,2.18
201207,3.49
201208,2.69
201209,6.16
201210,3.84
201211,1.01
201212,4.66
201301,2.16
201302,1.64
201303,2.55
201304,3.96
201305,1.90
201306,4.70
201307,8.11
201308,2.69
201309,3.12
201310,4.18
201311,2.75
201312,3.67
201401,1.82
201402,2.07
201403,2.06
201404,5.73
201405,4.93
201406,7.60
201407,3.82
201408,5.31
201409,1.33
201410,2.57
201411,1.64
201412,2.46
201501,2.79
201502,1.26
201503,3.59
201504,4.62
201505,3.65
201506,6.77
201507,5.06
201508,2.94
201509,3.14
201510,2.98
201511,2.51
201512,4.52
201601,1.17
201602,3.01
201603,4.38
201604,2.88
201605,3.51
201606,5.99
201607,2.72
201608,4.68
201609,4.02
201610,2.66
201611,1.01
201612,3.00
