Jackson County, Ohio, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,2.64
201002,2.57
201003,3.02
201004,1.50
201005,8.64
201006,6.17
201007,3.81
201008,4.20
201009,2.00
201010,1.99
201011,2.99
201012,2.80
201101,1.65
201102,4.68
201103,4.89
201104,9.74
201105,7.53
201106,3.94
201107,3.62
201108,3.76
201109,5.84
201110,4.51
201111,5.12
201112,2.94
201201,3.14
201202,1.39
201203,4.00
201204,2.26
201205,5.96
201206,1.60
201207,3.53
201208,2.17
201209,4.16
201210,3.81
201211,0.59
201212,7.07
201301,2.88
201302,1.50
201303,3.20
201304,2.16
201305,2.30
201306,6.51
201307,6.34
201308,3.10
201309,2.49
201310,2.49
201311,3.30
201312,5.22
201401,2.00
201402,3.49
201403,2.31
201404,5.52
201405,3.22
201406,4.41
201407,3.37
201408,3.22
201409,1.20
201410,4.65
201411,1.86
201412,3.22
201501,1.84
201502,1.60
201503,5.61
201504,6.20
201505,1.98
201506,7.05
201507,6.84
201508,2.96
201509,4.33
201510,2.36
201511,2.20
201512,5.24
201601,1.27
201602,4.09
201603,3.29
201604,3.26
201605,3.57
201606,3.51
201607,6.75
201608,2.64
201609,2.41
201610,2.51
201611,1.20
201612,4.00
