Morrow County, Ohio, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,1.44
201002,1.87
201003,2.16
201004,1.83
201005,3.99
201006,6.69
201007,3.87
201008,2.63
201009,2.52
201010,1.60
201011,4.82
201012,1.59
201101,1.52
201102,5.30
201103,4.28
201104,6.11
201105,6.64
201106,2.89
201107,4.01
201108,3.89
201109,6.06
201110,4.34
201111,5.59
201112,5.28
201201,2.86
201202,1.94
201203,2.88
201204,1.87
201205,3.96
201206,2.02
201207,3.20
201208,3.47
201209,7.81
201210,4.84
201211,1.26
201212,4.15
201301,2.26
201302,1.74
201303,1.98
201304,4.28
201305,1.82
201306,7.01
201307,9.18
201308,2.60
201309,2.96
201310,4.44
201311,2.99
201312,3.97
201401,1.82
201402,1.98
201403,1.96
201404,5.83
201405,4.42
201406,7.03
201407,2.77
201408,4.09
201409,2.10
201410,2.56
201411,1.59
201412,2.26
201501,2.91
201502,1.53
201503,3.20
201504,4.76
201505,4.27
201506,7.14
201507,3.75
201508,2.29
201509,2.64
201510,2.64
201511,2.50
201512,4.59
201601,1.38
201602,3.15
201603,4.74
201604,3.44
201605,3.66
201606,3.74
201607,2.12
201608,3.76
201609,3.89
201610,3.28
201611,1.15
201612,3.55
