Stark County, Ohio, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,1.64
201002,2.18
201003,3.36
201004,2.45
201005,4.05
201006,7.57
201007,3.87
201008,1.77
201009,3.18
201010,2.08
201011,4.16
201012,1.88
201101,1.48
201102,4.86
201103,4.83
201104,5.12
201105,7.08
201106,5.05
201107,5.59
201108,4.60
201109,4.62
201110,5.02
201111,4.46
201112,4.50
201201,3.28
201202,2.23
201203,2.89
201204,1.51
201205,2.52
201206,2.10
201207,4.13
201208,3.84
201209,4.82
201210,5.51
201211,0.77
201212,4.22
201301,2.03
201302,2.04
201303,1.97
201304,4.05
201305,1.69
201306,7.41
201307,6.82
201308,2.16
201309,2.83
201310,4.33
201311,3.04
201312,3.44
201401,1.86
201402,1.80
201403,2.23
201404,5.65
201405,4.03
201406,8.14
201407,4.23
201408,5.80
201409,1.40
201410,3.11
201411,2.18
201412,2.37
201501,2.91
201502,1.69
201503,2.88
201504,3.73
201505,4.38
201506,8.67
201507,3.44
201508,0.97
201509,3.58
201510,2.59
201511,1.67
201512,3.69
201601,1.17
201602,3.22
201603,3.91
201604,3.18
201605,2.37
201606,3.29
201607,2.59
201608,3.14
201609,5.00
201610,3.68
201611,1.42
201612,3.09
