Choctaw County, Oklahoma, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,4.44
201002,4.29
201003,3.23
201004,2.03
201005,4.64
201006,2.63
201007,3.35
201008,0.77
201009,6.24
201010,1.99
201011,2.54
201012,3.04
201101,0.76
201102,2.22
201103,0.77
201104,6.29
201105,6.46
201106,0.91
201107,0.88
201108,0.75
201109,0.82
201110,1.79
201111,7.47
201112,5.32
201201,6.13
201202,2.12
201203,6.88
201204,2.34
201205,2.52
201206,1.86
201207,2.73
201208,4.00
201209,1.96
201210,1.97
201211,0.34
201212,2.60
201301,3.30
201302,3.97
201303,4.03
201304,3.62
201305,6.78
201306,3.76
201307,2.70
201308,0.52
201309,2.83
201310,6.19
201311,3.59
201312,3.30
201401,0.94
201402,0.86
201403,2.54
201404,3.25
201405,5.72
201406,4.44
201407,5.57
201408,1.61
201409,3.61
201410,3.77
201411,1.53
201412,3.07
201501,3.61
201502,2.90
201503,5.17
201504,5.93
201505,20.96
201506,5.25
201507,2.70
201508,0.71
201509,2.30
201510,4.41
201511,12.53
201512,11.09
201601,1.59
201602,1.96
201603,5.74
201604,8.52
201605,5.32
201606,2.59
201607,1.57
201608,4.23
201609,3.11
201610,0.91
201611,2.79
201612,1.23
