Hughes County, Oklahoma, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,2.58
201002,2.79
201003,2.82
201004,3.12
201005,7.16
201006,6.55
201007,3.34
201008,0.84
201009,6.54
201010,1.51
201011,1.49
201012,1.39
201101,0.17
201102,1.80
201103,0.34
201104,4.88
201105,5.01
201106,0.33
201107,0.44
201108,2.31
201109,1.28
201110,3.42
201111,6.43
201112,2.24
201201,3.11
201202,1.64
201203,6.05
201204,2.85
201205,2.79
201206,3.05
201207,1.43
201208,3.48
201209,5.18
201210,0.96
201211,1.10
201212,0.99
201301,2.47
201302,4.04
201303,1.96
201304,4.91
201305,7.86
201306,6.03
201307,6.48
201308,3.12
201309,1.76
201310,4.66
201311,2.64
201312,3.06
201401,0.61
201402,0.66
201403,2.71
201404,2.48
201405,4.11
201406,6.34
201407,7.12
201408,0.29
201409,3.26
201410,3.83
201411,3.93
201412,2.57
201501,1.57
201502,1.50
201503,3.55
201504,6.22
201505,21.79
201506,8.57
201507,8.32
201508,1.71
201509,3.58
201510,4.14
201511,8.14
201512,9.76
201601,0.67
201602,2.16
201603,4.13
201604,7.76
201605,4.55
201606,2.92
201607,4.21
201608,1.43
201609,4.08
201610,2.11
201611,0.77
201612,0.86
