Lane County, Oregon, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,7.75
201002,5.20
201003,8.20
201004,7.83
201005,5.30
201006,5.21
201007,0.13
201008,0.80
201009,3.19
201010,6.97
201011,10.18
201012,13.44
201101,6.71
201102,6.96
201103,11.88
201104,8.29
201105,5.05
201106,2.05
201107,1.91
201108,0.03
201109,0.34
201110,3.79
201111,7.71
201112,6.76
201201,12.60
201202,7.33
201203,15.82
201204,6.89
201205,4.11
201206,5.04
201207,0.49
201208,0.13
201209,0.11
201210,8.00
201211,12.33
201212,14.29
201301,5.54
201302,3.99
201303,3.94
201304,4.83
201305,4.06
201306,1.99
201307,0.11
201308,1.16
201309,8.53
201310,1.79
201311,5.49
201312,3.57
201401,5.51
201402,13.91
201403,12.10
201404,4.99
201405,4.35
201406,2.11
201407,0.71
201408,0.57
201409,2.03
201410,7.90
201411,9.90
201412,13.45
201501,3.52
201502,7.24
201503,4.95
201504,3.57
201505,2.28
201506,0.63
201507,0.25
201508,0.65
201509,1.49
201510,3.53
201511,8.04
201512,20.96
201601,10.25
201602,5.25
201603,10.41
201604,4.48
201605,1.84
201606,1.53
201607,1.20
201608,0.04
201609,1.03
201610,16.15
201611,8.10
201612,10.66
