Northampton County, Pennsylvania, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,2.69
201002,3.36
201003,6.16
201004,3.49
201005,3.82
201006,2.82
201007,5.63
201008,2.13
201009,4.10
201010,7.34
201011,2.59
201012,3.38
201101,2.85
201102,3.34
201103,6.50
201104,6.63
201105,5.28
201106,4.41
201107,4.61
201108,14.17
201109,12.13
201110,4.71
201111,4.83
201112,4.35
201201,3.23
201202,1.24
201203,1.14
201204,2.91
201205,5.97
201206,3.60
201207,3.81
201208,4.03
201209,6.03
201210,6.20
201211,1.06
201212,4.99
201301,3.78
201302,1.82
201303,2.41
201304,3.07
201305,3.12
201306,8.01
201307,5.12
201308,5.32
201309,2.19
201310,1.84
201311,2.91
201312,4.49
201401,3.74
201402,4.55
201403,2.83
201404,4.86
201405,5.47
201406,4.80
201407,4.88
201408,3.00
201409,1.56
201410,3.52
201411,3.21
201412,3.81
201501,3.11
201502,1.86
201503,4.07
201504,2.40
201505,0.99
201506,7.98
201507,5.46
201508,3.32
201509,4.58
201510,3.67
201511,1.61
201512,4.58
201601,2.73
201602,4.92
201603,1.10
201604,2.11
201605,4.37
201606,2.63
201607,5.65
201608,3.08
201609,3.28
201610,2.05
201611,2.55
201612,3.53
