Greenwood County, South Carolina, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,5.36
201002,3.59
201003,2.80
201004,1.44
201005,4.11
201006,2.49
201007,3.05
201008,5.19
201009,3.47
201010,1.42
201011,1.64
201012,1.74
201101,2.44
201102,3.07
201103,5.59
201104,2.68
201105,3.00
201106,3.84
201107,2.01
201108,1.26
201109,2.87
201110,2.09
201111,3.04
201112,2.77
201201,2.92
201202,2.09
201203,3.35
201204,1.70
201205,2.96
201206,4.03
201207,4.31
201208,5.20
201209,2.01
201210,1.06
201211,1.27
201212,5.60
201301,4.12
201302,4.69
201303,3.80
201304,3.29
201305,3.67
201306,5.47
201307,10.05
201308,6.27
201309,1.72
201310,0.39
201311,3.13
201312,9.13
201401,3.46
201402,2.93
201403,4.50
201404,3.13
201405,2.87
201406,2.61
201407,1.95
201408,1.83
201409,4.77
201410,2.24
201411,4.41
201412,4.43
201501,2.74
201502,3.95
201503,3.11
201504,3.77
201505,1.75
201506,5.02
201507,2.35
201508,5.02
201509,3.78
201510,10.39
201511,8.31
201512,11.91
201601,2.63
201602,3.15
201603,1.94
201604,1.92
201605,4.76
201606,1.59
201607,3.14
201608,3.51
201609,3.34
201610,0.74
201611,1.43
201612,3.12
