McPherson County, South Dakota, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,1.01
201002,0.59
201003,1.47
201004,1.61
201005,5.50
201006,2.24
201007,1.63
201008,1.19
201009,4.52
201010,0.79
201011,0.31
201012,1.49
201101,0.80
201102,0.68
201103,1.38
201104,2.91
201105,2.58
201106,5.30
201107,4.48
201108,2.45
201109,0.84
201110,1.15
201111,0.04
201112,0.27
201201,0.29
201202,0.87
201203,0.24
201204,3.67
201205,2.27
201206,1.59
201207,1.83
201208,1.75
201209,0.08
201210,0.54
201211,0.35
201212,0.56
201301,0.44
201302,0.73
201303,0.33
201304,1.70
201305,4.33
201306,2.44
201307,2.47
201308,0.61
201309,2.75
201310,5.38
201311,0.19
201312,0.83
201401,0.30
201402,0.13
201403,0.50
201404,2.30
201405,1.73
201406,5.79
201407,0.48
201408,5.10
201409,0.57
201410,0.71
201411,0.67
201412,0.43
201501,0.41
201502,0.37
201503,0.26
201504,0.29
201505,7.79
201506,3.04
201507,2.53
201508,3.13
201509,0.91
201510,0.77
201511,0.70
201512,0.84
201601,0.13
201602,0.55
201603,0.66
201604,3.31
201605,3.06
201606,2.74
201607,3.57
201608,2.95
201609,2.07
201610,1.38
201611,1.22
201612,1.45
