Clay County, Tennessee, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,5.82
201002,3.15
201003,3.09
201004,2.60
201005,9.62
201006,6.08
201007,4.32
201008,7.72
201009,1.35
201010,2.61
201011,4.67
201012,3.08
201101,3.34
201102,5.16
201103,6.73
201104,9.78
201105,4.98
201106,5.67
201107,3.36
201108,0.76
201109,6.41
201110,2.95
201111,7.84
201112,4.86
201201,4.89
201202,2.72
201203,6.29
201204,1.67
201205,3.30
201206,0.73
201207,5.19
201208,3.49
201209,6.62
201210,3.19
201211,1.67
201212,5.56
201301,6.75
201302,2.14
201303,5.39
201304,6.34
201305,4.81
201306,4.44
201307,8.74
201308,5.32
201309,2.24
201310,2.13
201311,3.02
201312,7.26
201401,2.34
201402,5.09
201403,3.87
201404,7.60
201405,3.09
201406,4.01
201407,3.70
201408,5.78
201409,1.64
201410,7.68
201411,3.49
201412,3.72
201501,2.39
201502,4.14
201503,4.94
201504,5.86
201505,1.31
201506,5.65
201507,9.82
201508,3.07
201509,2.85
201510,3.80
201511,4.41
201512,6.55
201601,2.45
201602,6.80
201603,3.74
201604,2.35
201605,4.84
201606,4.58
201607,7.53
201608,3.04
201609,2.61
201610,1.65
201611,3.49
201612,7.11
