Henry County, Tennessee, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,3.67
201002,1.99
201003,3.54
201004,4.17
201005,10.26
201006,2.52
201007,3.48
201008,1.55
201009,0.63
201010,2.05
201011,5.96
201012,2.04
201101,2.43
201102,7.07
201103,6.28
201104,12.38
201105,9.01
201106,5.40
201107,1.59
201108,1.79
201109,5.63
201110,1.47
201111,9.56
201112,7.57
201201,3.53
201202,1.40
201203,5.07
201204,1.82
201205,1.92
201206,2.00
201207,4.83
201208,1.88
201209,4.72
201210,4.94
201211,1.63
201212,5.32
201301,7.14
201302,3.62
201303,5.60
201304,10.25
201305,6.64
201306,6.60
201307,5.72
201308,5.34
201309,5.74
201310,3.49
201311,3.55
201312,5.23
201401,2.64
201402,5.36
201403,5.22
201404,5.93
201405,3.64
201406,8.21
201407,1.84
201408,4.07
201409,1.57
201410,4.79
201411,2.13
201412,3.85
201501,1.24
201502,5.39
201503,5.30
201504,6.30
201505,5.44
201506,3.12
201507,6.12
201508,2.98
201509,1.99
201510,3.78
201511,7.24
201512,6.59
201601,1.82
201602,4.42
201603,9.10
201604,3.15
201605,4.81
201606,2.58
201607,5.88
201608,6.43
201609,1.85
201610,0.27
201611,2.50
201612,6.28
