Macon County, Tennessee, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,4.94
201002,2.82
201003,3.32
201004,3.88
201005,11.36
201006,3.17
201007,4.62
201008,7.68
201009,1.30
201010,2.58
201011,5.19
201012,2.67
201101,2.91
201102,5.13
201103,7.19
201104,9.63
201105,5.52
201106,7.14
201107,2.49
201108,0.48
201109,5.69
201110,1.79
201111,6.93
201112,4.68
201201,3.96
201202,2.71
201203,4.09
201204,2.26
201205,3.39
201206,0.70
201207,7.40
201208,3.90
201209,5.38
201210,3.84
201211,1.53
201212,5.20
201301,6.74
201302,2.44
201303,4.72
201304,7.40
201305,3.62
201306,4.35
201307,8.83
201308,3.88
201309,3.27
201310,2.84
201311,3.29
201312,5.99
201401,2.61
201402,5.42
201403,3.90
201404,7.16
201405,2.59
201406,4.88
201407,3.16
201408,5.97
201409,0.89
201410,8.04
201411,3.03
201412,3.16
201501,2.49
201502,4.60
201503,4.93
201504,6.23
201505,1.51
201506,5.20
201507,10.38
201508,2.87
201509,3.34
201510,3.85
201511,4.68
201512,6.16
201601,2.33
201602,6.92
201603,3.72
201604,2.26
201605,6.21
201606,5.27
201607,9.91
201608,3.08
201609,3.24
201610,0.57
201611,2.29
201612,7.82
