Van Buren County, Tennessee, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,7.25
201002,3.57
201003,3.40
201004,2.75
201005,8.25
201006,3.87
201007,2.32
201008,3.93
201009,1.67
201010,3.53
201011,6.15
201012,2.09
201101,3.94
201102,3.11
201103,7.83
201104,10.46
201105,2.72
201106,6.38
201107,3.57
201108,1.31
201109,8.33
201110,3.11
201111,8.87
201112,6.49
201201,6.87
201202,3.22
201203,4.63
201204,0.82
201205,2.75
201206,1.54
201207,7.61
201208,4.90
201209,7.70
201210,4.07
201211,2.22
201212,6.33
201301,8.41
201302,2.81
201303,4.39
201304,8.20
201305,5.87
201306,6.15
201307,8.98
201308,4.11
201309,3.17
201310,1.07
201311,4.14
201312,7.66
201401,3.15
201402,5.43
201403,3.73
201404,7.04
201405,2.03
201406,7.48
201407,4.08
201408,6.72
201409,2.39
201410,8.59
201411,3.80
201412,6.25
201501,4.24
201502,4.51
201503,5.79
201504,6.28
201505,2.45
201506,5.47
201507,8.52
201508,4.94
201509,3.11
201510,3.57
201511,5.04
201512,10.71
201601,3.80
201602,7.99
201603,1.96
201604,3.32
201605,2.23
201606,6.01
201607,5.36
201608,3.50
201609,1.90
201610,0.56
201611,4.37
201612,8.02
