Hall County, Texas, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,1.33
201002,1.49
201003,1.15
201004,6.77
201005,1.82
201006,3.51
201007,5.43
201008,0.79
201009,1.86
201010,2.26
201011,0.64
201012,0.02
201101,0.06
201102,0.54
201103,0.04
201104,0.04
201105,0.48
201106,0.43
201107,1.48
201108,0.16
201109,0.94
201110,2.78
201111,1.59
201112,1.41
201201,0.13
201202,0.75
201203,1.76
201204,1.04
201205,1.86
201206,3.77
201207,0.73
201208,2.04
201209,3.88
201210,0.16
201211,0.03
201212,0.48
201301,1.40
201302,1.91
201303,0.17
201304,0.50
201305,0.73
201306,3.41
201307,2.53
201308,2.31
201309,2.38
201310,1.17
201311,0.72
201312,0.69
201401,0.00
201402,0.28
201403,0.24
201404,0.40
201405,4.13
201406,4.04
201407,2.75
201408,2.46
201409,1.78
201410,0.76
201411,1.31
201412,0.17
201501,0.91
201502,0.47
201503,0.40
201504,4.48
201505,12.49
201506,2.98
201507,3.98
201508,1.71
201509,0.77
201510,3.24
201511,2.39
201512,1.46
201601,0.45
201602,0.64
201603,0.30
201604,1.96
201605,6.41
201606,2.96
201607,3.10
201608,4.85
201609,2.66
201610,0.48
201611,1.42
201612,1.27
