Karnes County, Texas, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,3.02
201002,3.26
201003,1.91
201004,2.87
201005,3.18
201006,3.24
201007,6.35
201008,0.39
201009,6.60
201010,0.02
201011,1.67
201012,0.25
201101,4.18
201102,0.24
201103,0.08
201104,0.00
201105,1.11
201106,1.65
201107,0.69
201108,0.05
201109,1.40
201110,2.18
201111,0.42
201112,4.16
201201,2.01
201202,2.05
201203,3.19
201204,0.52
201205,3.40
201206,0.62
201207,3.62
201208,0.53
201209,4.29
201210,0.93
201211,0.20
201212,0.13
201301,2.07
201302,1.88
201303,0.05
201304,3.16
201305,3.31
201306,1.73
201307,2.38
201308,1.71
201309,4.88
201310,3.61
201311,1.29
201312,0.47
201401,0.32
201402,0.48
201403,2.16
201404,0.39
201405,5.56
201406,2.79
201407,0.96
201408,0.39
201409,3.14
201410,1.45
201411,3.68
201412,1.72
201501,1.95
201502,0.90
201503,6.96
201504,6.67
201505,9.51
201506,2.47
201507,0.52
201508,0.94
201509,1.47
201510,6.45
201511,2.21
201512,1.08
201601,1.85
201602,2.12
201603,2.24
201604,1.82
201605,4.94
201606,4.62
201607,1.75
201608,7.70
201609,2.21
201610,0.03
201611,1.50
201612,4.19
