McLennan County, Texas, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,4.46
201002,3.60
201003,3.66
201004,3.18
201005,1.48
201006,4.06
201007,4.69
201008,0.50
201009,8.56
201010,0.89
201011,1.10
201012,1.11
201101,3.97
201102,1.82
201103,0.33
201104,1.20
201105,2.42
201106,1.19
201107,0.09
201108,0.28
201109,2.02
201110,4.65
201111,2.42
201112,5.12
201201,4.24
201202,3.79
201203,7.67
201204,1.47
201205,2.37
201206,2.90
201207,2.98
201208,2.28
201209,4.49
201210,0.30
201211,0.07
201212,1.04
201301,5.02
201302,1.71
201303,1.87
201304,1.76
201305,3.59
201306,1.23
201307,5.59
201308,0.58
201309,4.63
201310,8.07
201311,2.52
201312,1.53
201401,0.32
201402,0.63
201403,1.15
201404,1.77
201405,7.39
201406,6.73
201407,0.84
201408,1.23
201409,1.33
201410,4.13
201411,2.82
201412,0.77
201501,3.60
201502,1.63
201503,3.80
201504,4.70
201505,10.49
201506,5.56
201507,0.04
201508,0.95
201509,0.74
201510,14.19
201511,6.21
201512,3.35
201601,0.78
201602,2.22
201603,4.99
201604,7.16
201605,6.97
201606,4.74
201607,0.63
201608,7.65
201609,1.28
201610,0.35
201611,5.25
201612,1.46
