Scurry County, Texas, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,1.39
201002,2.80
201003,1.65
201004,4.18
201005,1.63
201006,3.13
201007,4.86
201008,1.05
201009,4.78
201010,0.25
201011,0.21
201012,0.31
201101,0.00
201102,0.28
201103,0.10
201104,0.04
201105,0.68
201106,0.65
201107,0.07
201108,0.31
201109,1.45
201110,1.83
201111,0.52
201112,1.45
201201,1.45
201202,0.95
201203,0.79
201204,1.13
201205,3.32
201206,1.75
201207,1.00
201208,1.05
201209,3.64
201210,0.69
201211,0.03
201212,0.09
201301,1.05
201302,0.49
201303,0.03
201304,0.17
201305,3.39
201306,2.66
201307,2.79
201308,2.76
201309,1.38
201310,1.41
201311,0.58
201312,1.34
201401,0.00
201402,0.58
201403,0.04
201404,0.21
201405,3.43
201406,3.33
201407,1.00
201408,0.75
201409,7.19
201410,1.00
201411,2.20
201412,0.51
201501,1.97
201502,0.49
201503,1.01
201504,2.31
201505,7.42
201506,4.32
201507,3.95
201508,0.77
201509,0.15
201510,3.14
201511,2.63
201512,1.31
201601,0.16
201602,0.21
201603,0.69
201604,2.20
201605,3.48
201606,2.82
201607,0.91
201608,1.08
201609,4.90
201610,0.30
201611,3.87
201612,1.12
