Trinity County, Texas, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,1.92
201002,3.50
201003,2.92
201004,1.23
201005,1.37
201006,5.02
201007,5.30
201008,1.31
201009,2.65
201010,0.65
201011,3.00
201012,1.13
201101,5.63
201102,1.01
201103,0.54
201104,2.00
201105,3.26
201106,1.90
201107,1.68
201108,0.90
201109,1.53
201110,1.94
201111,3.81
201112,5.72
201201,4.67
201202,5.67
201203,8.58
201204,2.53
201205,2.96
201206,3.28
201207,5.64
201208,1.35
201209,7.38
201210,0.89
201211,0.91
201212,3.97
201301,5.41
201302,2.34
201303,2.19
201304,2.48
201305,4.04
201306,4.27
201307,3.32
201308,1.06
201309,5.46
201310,7.06
201311,4.91
201312,1.88
201401,1.62
201402,2.09
201403,2.93
201404,2.48
201405,9.01
201406,4.52
201407,7.39
201408,1.41
201409,2.93
201410,3.83
201411,5.13
201412,2.83
201501,6.91
201502,1.43
201503,7.64
201504,8.08
201505,15.22
201506,6.85
201507,0.49
201508,0.60
201509,1.51
201510,5.09
201511,7.47
201512,6.10
201601,2.00
201602,2.87
201603,6.25
201604,8.16
201605,9.34
201606,3.35
201607,1.17
201608,7.99
201609,1.75
201610,0.51
201611,3.11
201612,5.17
