Washington County, Utah, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,3.75
201002,2.71
201003,1.72
201004,0.95
201005,0.29
201006,0.18
201007,0.56
201008,1.34
201009,0.04
201010,3.40
201011,1.34
201012,6.87
201101,0.14
201102,2.12
201103,1.54
201104,1.14
201105,1.43
201106,0.04
201107,0.90
201108,0.19
201109,0.99
201110,2.07
201111,0.71
201112,0.63
201201,0.95
201202,1.67
201203,0.88
201204,0.95
201205,0.01
201206,0.00
201207,2.24
201208,2.79
201209,1.36
201210,1.36
201211,0.49
201212,1.78
201301,0.97
201302,0.68
201303,0.93
201304,0.52
201305,0.36
201306,0.01
201307,1.70
201308,2.11
201309,3.04
201310,0.72
201311,1.37
201312,0.87
201401,0.59
201402,0.70
201403,0.80
201404,0.72
201405,0.71
201406,0.00
201407,1.35
201408,3.08
201409,3.97
201410,0.02
201411,0.53
201412,1.33
201501,1.12
201502,1.48
201503,1.79
201504,0.76
201505,2.46
201506,0.54
201507,1.36
201508,1.20
201509,1.10
201510,1.77
201511,1.03
201512,1.28
201601,2.41
201602,0.85
201603,1.08
201604,2.67
201605,0.36
201606,0.44
201607,0.81
201608,2.37
201609,1.27
201610,0.63
201611,1.13
201612,3.60
