Wayne County, Utah, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,1.31
201002,1.32
201003,1.26
201004,0.30
201005,0.27
201006,0.44
201007,1.34
201008,1.67
201009,0.32
201010,3.14
201011,0.67
201012,0.98
201101,0.05
201102,0.61
201103,0.66
201104,1.26
201105,0.97
201106,0.20
201107,2.09
201108,1.16
201109,1.51
201110,0.86
201111,0.44
201112,0.46
201201,0.23
201202,0.58
201203,0.44
201204,0.28
201205,0.15
201206,0.01
201207,1.72
201208,1.52
201209,0.73
201210,0.88
201211,0.15
201212,0.76
201301,0.47
201302,0.56
201303,0.71
201304,0.54
201305,0.76
201306,0.03
201307,1.75
201308,1.42
201309,3.51
201310,0.47
201311,1.08
201312,0.57
201401,0.26
201402,0.24
201403,0.34
201404,0.45
201405,1.31
201406,0.02
201407,1.30
201408,1.30
201409,2.16
201410,0.04
201411,0.47
201412,0.85
201501,1.12
201502,0.62
201503,0.68
201504,0.60
201505,1.98
201506,1.38
201507,2.54
201508,1.32
201509,0.69
201510,2.43
201511,0.72
201512,0.79
201601,0.58
201602,0.59
201603,0.33
201604,0.98
201605,0.73
201606,0.19
201607,1.07
201608,0.87
201609,1.56
201610,0.72
201611,0.66
201612,0.70
