Cumberland County, Virginia, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,3.92
201002,2.88
201003,4.56
201004,1.93
201005,3.92
201006,1.62
201007,1.92
201008,4.06
201009,4.95
201010,4.26
201011,2.59
201012,1.85
201101,1.45
201102,1.11
201103,4.25
201104,3.73
201105,3.98
201106,3.31
201107,4.99
201108,5.35
201109,7.19
201110,4.43
201111,3.76
201112,3.84
201201,1.81
201202,3.55
201203,3.98
201204,2.22
201205,3.23
201206,2.70
201207,3.93
201208,6.32
201209,3.68
201210,3.20
201211,0.55
201212,2.94
201301,5.92
201302,2.12
201303,4.28
201304,3.60
201305,3.76
201306,8.47
201307,7.71
201308,4.96
201309,1.45
201310,2.61
201311,3.29
201312,5.49
201401,3.39
201402,3.27
201403,2.94
201404,5.35
201405,6.59
201406,3.99
201407,2.63
201408,4.84
201409,2.76
201410,3.62
201411,2.46
201412,3.59
201501,2.57
201502,3.64
201503,3.53
201504,3.57
201505,1.81
201506,6.94
201507,3.28
201508,2.33
201509,5.81
201510,4.97
201511,4.11
201512,6.22
201601,2.98
201602,4.13
201603,2.27
201604,2.49
201605,7.77
201606,3.71
201607,5.24
201608,2.46
201609,4.07
201610,3.75
201611,0.89
201612,3.01
