Halifax County, Virginia, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,4.03
201002,2.99
201003,5.49
201004,1.66
201005,5.58
201006,1.97
201007,2.16
201008,6.23
201009,5.09
201010,4.48
201011,1.51
201012,2.83
201101,1.40
201102,1.37
201103,4.75
201104,3.55
201105,4.27
201106,1.87
201107,4.00
201108,2.41
201109,6.53
201110,3.14
201111,4.68
201112,2.66
201201,1.68
201202,2.22
201203,4.33
201204,2.65
201205,2.54
201206,2.07
201207,3.05
201208,3.34
201209,4.57
201210,2.85
201211,0.50
201212,2.73
201301,7.44
201302,2.81
201303,2.96
201304,3.29
201305,5.18
201306,6.16
201307,7.10
201308,3.73
201309,1.05
201310,2.00
201311,2.78
201312,5.51
201401,3.59
201402,2.38
201403,3.60
201404,5.44
201405,5.43
201406,2.22
201407,4.86
201408,6.40
201409,3.83
201410,3.24
201411,3.23
201412,3.41
201501,2.15
201502,2.75
201503,3.45
201504,3.14
201505,1.54
201506,5.87
201507,4.74
201508,2.16
201509,6.54
201510,3.98
201511,5.10
201512,7.27
201601,2.83
201602,4.98
201603,2.57
201604,2.39
201605,7.61
201606,6.59
201607,4.54
201608,3.42
201609,4.36
201610,5.49
201611,0.80
201612,2.17
