Isle of Wight County, Virginia, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,3.89
201002,3.29
201003,5.37
201004,1.22
201005,5.39
201006,2.58
201007,2.22
201008,2.62
201009,12.05
201010,4.27
201011,0.68
201012,2.81
201101,2.60
201102,1.52
201103,3.58
201104,1.92
201105,2.38
201106,3.83
201107,7.02
201108,10.26
201109,8.26
201110,2.91
201111,2.83
201112,1.49
201201,1.92
201202,2.62
201203,3.06
201204,3.21
201205,4.01
201206,4.75
201207,4.26
201208,8.75
201209,3.27
201210,6.71
201211,0.65
201212,3.48
201301,4.16
201302,4.21
201303,2.94
201304,3.38
201305,3.09
201306,7.57
201307,6.26
201308,4.44
201309,1.02
201310,4.04
201311,3.03
201312,5.84
201401,3.03
201402,2.58
201403,4.10
201404,5.55
201405,4.11
201406,4.35
201407,6.64
201408,3.76
201409,6.58
201410,1.90
201411,3.81
201412,3.48
201501,3.35
201502,2.92
201503,4.26
201504,3.66
201505,2.15
201506,8.60
201507,5.88
201508,2.35
201509,4.77
201510,4.40
201511,4.76
201512,3.82
201601,3.32
201602,5.77
201603,2.99
201604,2.48
201605,6.86
201606,5.32
201607,7.78
201608,1.57
201609,10.29
201610,7.63
201611,1.14
201612,2.20
