Fredericksburg City, Virginia, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,2.27
201002,2.43
201003,5.18
201004,2.07
201005,2.24
201006,2.13
201007,2.75
201008,5.66
201009,4.10
201010,4.95
201011,1.70
201012,1.86
201101,1.86
201102,1.11
201103,6.04
201104,3.87
201105,4.05
201106,3.02
201107,2.47
201108,7.66
201109,9.41
201110,3.39
201111,2.80
201112,4.66
201201,2.26
201202,2.38
201203,2.67
201204,2.06
201205,4.82
201206,2.54
201207,3.85
201208,3.36
201209,2.50
201210,5.23
201211,0.62
201212,3.83
201301,3.57
201302,1.53
201303,2.64
201304,2.59
201305,3.09
201306,5.27
201307,2.73
201308,4.43
201309,1.26
201310,3.29
201311,3.09
201312,6.34
201401,2.45
201402,2.45
201403,2.34
201404,5.34
201405,6.26
201406,2.75
201407,2.32
201408,3.98
201409,1.21
201410,2.72
201411,2.01
201412,3.32
201501,3.13
201502,2.26
201503,3.71
201504,4.14
201505,2.50
201506,7.14
201507,5.05
201508,1.33
201509,3.31
201510,3.88
201511,2.00
201512,3.93
201601,3.40
201602,3.26
201603,0.94
201604,1.57
201605,8.41
201606,4.48
201607,3.33
201608,3.29
201609,7.85
201610,3.01
201611,0.83
201612,2.46
