Eau Claire County, Wisconsin, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,0.94
201002,0.47
201003,0.48
201004,2.40
201005,2.19
201006,6.01
201007,7.29
201008,5.02
201009,8.56
201010,1.66
201011,2.44
201012,2.23
201101,0.93
201102,1.25
201103,2.72
201104,3.36
201105,3.38
201106,5.56
201107,6.86
201108,2.36
201109,2.25
201110,1.23
201111,0.49
201112,1.26
201201,0.78
201202,1.97
201203,1.45
201204,2.89
201205,4.79
201206,4.37
201207,1.81
201208,2.93
201209,1.03
201210,2.76
201211,0.83
201212,1.66
201301,1.19
201302,1.50
201303,2.71
201304,5.32
201305,8.53
201306,5.57
201307,1.13
201308,1.09
201309,2.02
201310,3.49
201311,1.51
201312,1.58
201401,1.54
201402,1.65
201403,0.76
201404,6.03
201405,4.51
201406,8.08
201407,2.29
201408,5.80
201409,4.88
201410,2.85
201411,1.94
201412,0.89
201501,0.44
201502,0.29
201503,0.68
201504,3.11
201505,5.59
201506,5.41
201507,5.46
201508,5.36
201509,5.41
201510,3.09
201511,2.67
201512,3.90
201601,0.55
201602,0.81
201603,4.00
201604,2.25
201605,3.79
201606,5.58
201607,4.05
201608,6.49
201609,7.87
201610,2.55
201611,1.11
201612,2.05
