Jackson County, Wisconsin, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,0.93
201002,0.66
201003,0.44
201004,1.74
201005,2.67
201006,7.41
201007,8.13
201008,4.15
201009,9.74
201010,2.29
201011,2.25
201012,2.30
201101,0.85
201102,1.25
201103,2.89
201104,3.79
201105,2.39
201106,4.66
201107,8.05
201108,1.64
201109,3.50
201110,1.24
201111,0.93
201112,1.21
201201,0.91
201202,1.63
201203,1.58
201204,2.72
201205,5.06
201206,4.66
201207,1.77
201208,3.19
201209,1.34
201210,4.05
201211,1.11
201212,1.50
201301,1.33
201302,1.30
201303,2.10
201304,4.66
201305,8.06
201306,6.57
201307,1.68
201308,1.32
201309,1.86
201310,4.04
201311,1.89
201312,1.37
201401,1.13
201402,1.14
201403,0.87
201404,6.01
201405,3.46
201406,8.01
201407,3.46
201408,5.72
201409,2.42
201410,3.37
201411,1.65
201412,1.21
201501,0.48
201502,0.41
201503,0.52
201504,3.67
201505,5.32
201506,5.47
201507,4.45
201508,3.90
201509,4.43
201510,2.81
201511,2.02
201512,4.53
201601,0.77
201602,0.82
201603,3.78
201604,1.54
201605,2.91
201606,6.28
201607,5.92
201608,8.40
201609,8.04
201610,2.92
201611,1.39
201612,2.11
