Gilmer County, West Virginia, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,3.29
201002,3.07
201003,3.16
201004,1.84
201005,4.80
201006,4.09
201007,4.73
201008,3.63
201009,2.86
201010,2.50
201011,2.76
201012,4.13
201101,2.79
201102,3.12
201103,6.96
201104,6.86
201105,4.14
201106,3.60
201107,4.18
201108,3.70
201109,6.18
201110,5.46
201111,5.26
201112,4.00
201201,2.67
201202,1.81
201203,5.23
201204,2.12
201205,5.88
201206,3.08
201207,6.22
201208,1.88
201209,5.67
201210,5.10
201211,0.89
201212,5.61
201301,3.99
201302,1.87
201303,3.95
201304,1.68
201305,3.72
201306,6.38
201307,7.03
201308,4.95
201309,2.80
201310,1.38
201311,3.38
201312,6.13
201401,2.64
201402,4.51
201403,3.38
201404,2.27
201405,4.06
201406,5.71
201407,4.89
201408,3.70
201409,2.72
201410,5.43
201411,1.70
201412,3.56
201501,2.21
201502,2.52
201503,6.14
201504,5.84
201505,2.96
201506,6.91
201507,7.21
201508,2.64
201509,3.00
201510,2.50
201511,2.26
201512,5.30
201601,2.78
201602,3.45
201603,2.93
201604,3.37
201605,6.00
201606,5.79
201607,5.54
201608,4.39
201609,1.31
201610,5.64
201611,1.73
201612,4.86
