Logan County, West Virginia, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,3.86
201002,3.01
201003,3.36
201004,2.70
201005,5.74
201006,9.09
201007,5.33
201008,4.26
201009,1.57
201010,2.36
201011,2.85
201012,5.47
201101,2.71
201102,2.24
201103,6.26
201104,7.59
201105,5.18
201106,3.09
201107,5.96
201108,4.04
201109,6.44
201110,4.94
201111,4.57
201112,3.85
201201,3.59
201202,2.85
201203,6.23
201204,5.29
201205,4.74
201206,2.60
201207,8.05
201208,3.05
201209,5.14
201210,5.31
201211,1.07
201212,4.75
201301,4.92
201302,1.88
201303,3.46
201304,3.38
201305,4.58
201306,5.63
201307,7.74
201308,4.17
201309,2.55
201310,2.38
201311,4.21
201312,7.34
201401,2.54
201402,4.31
201403,3.89
201404,3.27
201405,3.82
201406,5.17
201407,3.18
201408,7.74
201409,3.40
201410,6.21
201411,2.89
201412,3.20
201501,1.87
201502,4.19
201503,6.29
201504,7.68
201505,1.50
201506,4.12
201507,9.21
201508,3.08
201509,3.50
201510,2.93
201511,2.18
201512,4.38
201601,2.24
201602,4.26
201603,1.95
201604,2.52
201605,7.48
201606,5.58
201607,6.87
201608,3.37
201609,2.35
201610,2.08
201611,2.52
201612,5.33
