Mineral County, West Virginia, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,2.66
201002,3.26
201003,3.78
201004,1.38
201005,4.70
201006,3.15
201007,2.50
201008,1.69
201009,2.97
201010,2.90
201011,2.43
201012,2.29
201101,1.20
201102,2.68
201103,4.81
201104,7.01
201105,7.02
201106,3.40
201107,1.87
201108,3.74
201109,7.32
201110,4.69
201111,3.06
201112,2.79
201201,2.73
201202,1.31
201203,4.06
201204,1.67
201205,3.82
201206,2.87
201207,3.78
201208,2.88
201209,3.15
201210,4.91
201211,0.39
201212,3.40
201301,2.55
201302,1.42
201303,2.66
201304,2.76
201305,3.54
201306,4.40
201307,3.96
201308,5.37
201309,1.34
201310,2.94
201311,1.63
201312,3.71
201401,1.26
201402,3.72
201403,1.79
201404,2.49
201405,3.91
201406,4.66
201407,3.22
201408,2.68
201409,1.29
201410,3.84
201411,1.72
201412,1.99
201501,1.92
201502,0.96
201503,3.03
201504,3.93
201505,2.45
201506,7.71
201507,2.70
201508,2.66
201509,3.92
201510,3.02
201511,1.58
201512,3.05
201601,3.03
201602,2.06
201603,1.93
201604,1.72
201605,5.57
201606,5.14
201607,2.82
201608,2.51
201609,3.82
201610,2.66
201611,0.84
201612,3.07
