Monongalia County, West Virginia, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,3.14
201002,3.19
201003,2.83
201004,2.11
201005,5.06
201006,4.80
201007,4.62
201008,2.78
201009,3.52
201010,3.14
201011,3.66
201012,2.75
201101,2.20
201102,3.71
201103,4.91
201104,7.90
201105,5.02
201106,5.81
201107,5.53
201108,5.24
201109,8.21
201110,5.54
201111,4.92
201112,4.08
201201,3.73
201202,1.48
201203,4.30
201204,1.48
201205,3.92
201206,1.82
201207,5.09
201208,2.17
201209,4.30
201210,5.91
201211,0.57
201212,5.74
201301,3.41
201302,1.84
201303,2.53
201304,1.77
201305,3.72
201306,5.59
201307,7.67
201308,6.70
201309,2.22
201310,1.90
201311,3.50
201312,5.04
201401,2.52
201402,3.65
201403,2.75
201404,3.04
201405,4.52
201406,5.02
201407,4.96
201408,4.96
201409,1.97
201410,4.30
201411,2.09
201412,3.28
201501,2.89
201502,1.82
201503,5.36
201504,5.96
201505,1.80
201506,6.17
201507,3.91
201508,1.81
201509,4.26
201510,2.79
201511,2.03
201512,4.16
201601,2.11
201602,2.99
201603,3.18
201604,3.01
201605,5.07
201606,4.32
201607,6.01
201608,4.27
201609,3.35
201610,5.16
201611,1.36
201612,4.58
