Ohio County, West Virginia, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,3.28
201002,2.15
201003,2.82
201004,1.55
201005,4.67
201006,5.17
201007,2.56
201008,1.54
201009,2.41
201010,3.16
201011,3.38
201012,2.73
201101,1.81
201102,4.11
201103,4.09
201104,6.73
201105,4.56
201106,5.20
201107,3.50
201108,4.13
201109,6.84
201110,4.70
201111,4.29
201112,3.23
201201,3.42
201202,1.49
201203,3.49
201204,1.29
201205,3.23
201206,2.28
201207,4.80
201208,2.63
201209,4.58
201210,4.34
201211,0.70
201212,5.54
201301,2.62
201302,1.99
201303,1.90
201304,2.27
201305,2.72
201306,5.41
201307,5.27
201308,2.96
201309,2.81
201310,2.26
201311,3.30
201312,4.32
201401,2.04
201402,2.35
201403,2.07
201404,3.57
201405,4.28
201406,3.86
201407,3.61
201408,7.43
201409,0.94
201410,2.55
201411,1.92
201412,2.84
201501,3.12
201502,2.14
201503,4.60
201504,4.80
201505,2.64
201506,7.33
201507,3.23
201508,3.11
201509,7.52
201510,3.17
201511,1.89
201512,4.12
201601,1.90
201602,3.04
201603,3.63
201604,2.75
201605,4.83
201606,3.23
201607,4.59
201608,5.04
201609,3.99
201610,3.64
201611,1.08
201612,4.35
