Upshur County, West Virginia, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,3.85
201002,3.85
201003,2.75
201004,2.50
201005,5.24
201006,4.39
201007,6.23
201008,4.55
201009,3.50
201010,3.49
201011,3.03
201012,3.72
201101,2.82
201102,3.39
201103,6.92
201104,7.95
201105,4.96
201106,4.26
201107,4.50
201108,4.35
201109,6.66
201110,6.06
201111,5.09
201112,3.96
201201,2.88
201202,2.60
201203,5.55
201204,2.38
201205,5.89
201206,1.93
201207,7.97
201208,3.67
201209,5.37
201210,5.90
201211,0.93
201212,5.55
201301,4.59
201302,2.27
201303,3.72
201304,2.34
201305,3.93
201306,5.72
201307,5.68
201308,7.25
201309,2.42
201310,1.97
201311,4.03
201312,6.61
201401,2.84
201402,5.25
201403,3.26
201404,2.30
201405,4.02
201406,4.85
201407,5.36
201408,4.23
201409,2.22
201410,6.64
201411,2.36
201412,4.20
201501,2.83
201502,2.89
201503,7.08
201504,6.67
201505,2.49
201506,7.92
201507,6.34
201508,2.75
201509,3.27
201510,2.25
201511,2.67
201512,4.98
201601,3.02
201602,3.59
201603,2.69
201604,3.61
201605,6.13
201606,6.88
201607,5.89
201608,3.61
201609,3.19
201610,5.23
201611,2.26
201612,5.38
