Faulkner County, Arkansas, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,37.4
201002,36.2
201003,51.3
201004,63.8
201005,71.6
201006,82.1
201007,82.7
201008,84.3
201009,74.6
201010,63.9
201011,52.3
201012,38.7
201101,37.8
201102,44.0
201103,52.3
201104,64.2
201105,67.2
201106,82.2
201107,85.3
201108,82.9
201109,70.2
201110,60.3
201111,53.9
201112,43.7
201201,44.1
201202,47.4
201203,62.5
201204,64.8
201205,73.8
201206,79.1
201207,86.5
201208,81.7
201209,73.9
201210,59.4
201211,50.2
201212,46.4
201301,41.8
201302,43.4
201303,46.3
201304,58.7
201305,67.1
201306,77.7
201307,79.0
201308,78.5
201309,75.9
201310,61.9
201311,48.5
201312,40.4
201401,35.4
201402,39.2
201403,46.4
201404,60.5
201405,67.8
201406,76.6
201407,75.7
201408,79.2
201409,72.6
201410,63.8
201411,44.8
201412,43.2
201501,38.0
201502,35.5
201503,49.7
201504,62.5
201505,69.3
201506,78.4
201507,82.5
201508,78.7
201509,75.1
201510,63.3
201511,53.6
201512,49.9
201601,38.7
201602,46.9
201603,55.5
201604,62.7
201605,67.2
201606,79.9
201607,83.4
201608,80.3
201609,76.3
201610,67.0
201611,55.1
201612,41.5
