Navajo County, Arizona, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,29.9
201002,34.1
201003,41.3
201004,49.7
201005,55.8
201006,68.8
201007,74.4
201008,71.4
201009,67.2
201010,54.6
201011,38.6
201012,38.0
201101,29.7
201102,32.6
201103,45.6
201104,50.4
201105,55.5
201106,68.4
201107,73.8
201108,74.6
201109,66.0
201110,52.9
201111,40.2
201112,29.5
201201,35.4
201202,36.0
201203,44.2
201204,53.3
201205,61.5
201206,71.8
201207,74.0
201208,73.5
201209,65.5
201210,54.8
201211,44.4
201212,32.5
201301,26.7
201302,32.6
201303,45.8
201304,51.0
201305,59.0
201306,72.2
201307,75.0
201308,71.3
201309,65.3
201310,49.7
201311,41.9
201312,30.3
201401,35.3
201402,40.9
201403,45.0
201404,50.4
201405,58.0
201406,69.8
201407,75.3
201408,69.7
201409,67.0
201410,56.4
201411,42.4
201412,35.2
201501,35.2
201502,43.1
201503,47.6
201504,50.6
201505,55.4
201506,70.3
201507,71.4
201508,72.7
201509,66.9
201510,55.8
201511,39.4
201512,31.4
201601,31.7
201602,39.9
201603,46.5
201604,50.1
201605,56.6
201606,73.0
201607,74.9
201608,69.7
201609,64.4
201610,57.8
201611,43.8
201612,35.6
