Calaveras County, California, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,45.5
201002,46.7
201003,48.7
201004,49.2
201005,54.8
201006,68.2
201007,75.3
201008,72.0
201009,70.2
201010,60.9
201011,47.9
201012,45.1
201101,44.8
201102,43.6
201103,46.6
201104,51.8
201105,55.2
201106,64.6
201107,72.6
201108,73.5
201109,72.8
201110,60.6
201111,48.6
201112,43.6
201201,47.4
201202,46.7
201203,47.2
201204,54.3
201205,62.7
201206,67.7
201207,74.5
201208,78.1
201209,73.8
201210,61.5
201211,51.9
201212,41.9
201301,42.9
201302,45.4
201303,53.6
201304,58.3
201305,62.7
201306,71.1
201307,78.0
201308,73.5
201309,68.1
201310,59.6
201311,53.0
201312,45.4
201401,51.7
201402,49.0
201403,53.1
201404,56.8
201405,63.4
201406,71.6
201407,78.1
201408,74.9
201409,71.4
201410,64.6
201411,52.9
201412,46.1
201501,50.1
201502,54.0
201503,57.3
201504,56.1
201505,60.0
201506,74.3
201507,75.0
201508,75.2
201509,72.2
201510,65.3
201511,46.8
201512,41.5
201601,44.2
201602,52.6
201603,51.3
201604,56.9
201605,61.3
201606,72.1
201607,75.9
201608,75.8
201609,69.5
201610,58.9
201611,52.4
201612,43.5
