Madera County, California, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,42.4
201002,44.1
201003,46.4
201004,47.2
201005,53.8
201006,67.2
201007,74.1
201008,71.0
201009,68.1
201010,58.3
201011,46.2
201012,43.6
201101,42.1
201102,41.0
201103,45.5
201104,50.5
201105,54.6
201106,63.7
201107,72.2
201108,72.7
201109,70.5
201110,59.0
201111,46.1
201112,40.2
201201,44.0
201202,43.9
201203,46.9
201204,52.5
201205,61.3
201206,67.3
201207,73.1
201208,76.6
201209,71.6
201210,59.5
201211,50.0
201212,41.0
201301,39.7
201302,42.6
201303,51.7
201304,55.8
201305,61.3
201306,70.7
201307,76.8
201308,72.5
201309,67.2
201310,56.2
201311,50.0
201312,41.5
201401,47.6
201402,47.3
201403,51.5
201404,55.5
201405,62.2
201406,69.9
201407,76.6
201408,73.4
201409,70.0
201410,62.4
201411,50.3
201412,45.0
201501,45.2
201502,50.6
201503,54.8
201504,54.3
201505,58.6
201506,72.8
201507,73.7
201508,74.2
201509,70.0
201510,62.4
201511,44.7
201512,39.3
201601,42.7
201602,48.9
201603,49.8
201604,55.2
201605,60.4
201606,71.3
201607,74.8
201608,73.8
201609,67.3
201610,58.2
201611,50.6
201612,41.5
