Solano County, California, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,47.7
201002,52.1
201003,54.1
201004,55.3
201005,60.7
201006,70.3
201007,71.7
201008,70.2
201009,71.1
201010,63.7
201011,53.6
201012,49.6
201101,46.8
201102,48.9
201103,52.9
201104,57.6
201105,60.8
201106,67.4
201107,72.3
201108,71.7
201109,72.8
201110,64.3
201111,51.7
201112,46.9
201201,48.7
201202,51.8
201203,52.6
201204,59.0
201205,65.6
201206,70.2
201207,72.4
201208,74.0
201209,70.4
201210,64.9
201211,55.4
201212,47.7
201301,45.4
201302,50.4
201303,56.7
201304,63.2
201305,67.3
201306,72.0
201307,74.4
201308,73.0
201309,70.8
201310,62.6
201311,56.0
201312,46.6
201401,52.6
201402,53.5
201403,58.4
201404,61.1
201405,67.8
201406,71.9
201407,75.2
201408,73.4
201409,72.0
201410,67.1
201411,56.4
201412,52.7
201501,50.3
201502,56.4
201503,60.5
201504,60.7
201505,62.7
201506,72.9
201507,74.6
201508,74.4
201509,72.8
201510,68.8
201511,52.2
201512,47.3
201601,49.7
201602,55.6
201603,56.6
201604,61.9
201605,66.0
201606,72.7
201607,73.5
201608,71.9
201609,70.4
201610,62.2
201611,55.7
201612,46.6
