Otero County, Colorado, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,31.9
201002,31.6
201003,42.8
201004,53.2
201005,60.0
201006,74.6
201007,77.4
201008,76.2
201009,70.6
201010,56.7
201011,41.7
201012,36.1
201101,29.4
201102,31.5
201103,45.8
201104,53.3
201105,60.0
201106,74.2
201107,80.1
201108,79.3
201109,66.4
201110,54.7
201111,42.7
201112,24.6
201201,36.0
201202,35.1
201203,50.3
201204,56.8
201205,64.1
201206,77.8
201207,80.5
201208,76.4
201209,66.9
201210,51.9
201211,46.1
201212,33.3
201301,31.8
201302,34.4
201303,42.2
201304,47.6
201305,62.4
201306,75.6
201307,76.6
201308,76.5
201309,70.4
201310,52.3
201311,41.7
201312,31.9
201401,32.0
201402,31.4
201403,43.4
201404,52.3
201405,61.8
201406,73.3
201407,76.2
201408,74.1
201409,68.0
201410,56.8
201411,38.6
201412,32.7
201501,33.5
201502,36.4
201503,45.7
201504,53.5
201505,57.8
201506,73.1
201507,76.3
201508,76.2
201509,72.0
201510,58.8
201511,42.5
201512,35.1
201601,34.0
201602,40.7
201603,46.1
201604,51.7
201605,59.8
201606,74.7
201607,79.1
201608,73.5
201609,69.5
201610,60.2
201611,47.4
201612,30.5
