Charlotte County, Florida, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,57.2
201002,57.6
201003,61.5
201004,71.6
201005,80.3
201006,84.3
201007,83.7
201008,83.8
201009,82.2
201010,75.1
201011,69.1
201012,54.1
201101,60.7
201102,66.2
201103,69.0
201104,76.2
201105,78.4
201106,82.1
201107,83.0
201108,83.8
201109,82.3
201110,74.3
201111,70.8
201112,67.6
201201,62.8
201202,69.2
201203,71.7
201204,73.0
201205,79.5
201206,80.6
201207,82.8
201208,83.1
201209,81.3
201210,77.0
201211,66.0
201212,66.4
201301,67.8
201302,66.3
201303,62.3
201304,75.3
201305,76.1
201306,81.8
201307,81.6
201308,83.0
201309,80.9
201310,77.4
201311,72.4
201312,69.9
201401,61.2
201402,68.7
201403,67.9
201404,73.6
201405,78.2
201406,81.2
201407,82.7
201408,83.8
201409,81.1
201410,75.8
201411,66.2
201412,66.0
201501,64.3
201502,61.7
201503,73.0
201504,77.9
201505,78.8
201506,82.1
201507,82.6
201508,82.8
201509,82.0
201510,77.7
201511,76.1
201512,73.4
201601,61.6
201602,62.8
201603,71.5
201604,73.6
201605,77.8
201606,82.5
201607,84.2
201608,83.6
201609,82.4
201610,77.1
201611,69.4
201612,71.0
