Martin County, Florida, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,57.2
201002,58.0
201003,61.3
201004,72.1
201005,79.2
201006,83.6
201007,83.6
201008,83.1
201009,82.1
201010,75.4
201011,70.0
201012,55.0
201101,61.8
201102,67.3
201103,69.3
201104,76.7
201105,78.0
201106,81.2
201107,82.5
201108,83.5
201109,81.3
201110,75.4
201111,72.2
201112,69.3
201201,63.7
201202,69.4
201203,72.2
201204,73.5
201205,78.0
201206,80.0
201207,82.2
201208,82.3
201209,80.6
201210,76.5
201211,66.5
201212,67.1
201301,68.8
201302,66.6
201303,62.1
201304,74.7
201305,75.5
201306,81.0
201307,81.0
201308,82.3
201309,80.1
201310,77.0
201311,73.5
201312,70.8
201401,62.3
201402,69.7
201403,68.9
201404,73.8
201405,77.4
201406,79.7
201407,81.6
201408,82.6
201409,80.2
201410,75.9
201411,68.3
201412,66.4
201501,66.0
201502,63.5
201503,73.8
201504,77.8
201505,78.5
201506,81.9
201507,82.4
201508,82.6
201509,81.1
201510,78.0
201511,76.5
201512,74.3
201601,63.9
201602,64.4
201603,73.4
201604,73.8
201605,77.1
201606,82.1
201607,84.7
201608,83.6
201609,82.3
201610,78.3
201611,71.0
201612,72.1
