Haralson County, Georgia, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,36.7
201002,37.4
201003,48.2
201004,61.4
201005,70.1
201006,78.0
201007,79.7
201008,80.5
201009,73.2
201010,60.5
201011,51.3
201012,36.1
201101,38.0
201102,46.4
201103,53.8
201104,62.2
201105,66.4
201106,77.8
201107,79.5
201108,79.3
201109,69.1
201110,57.4
201111,52.6
201112,47.2
201201,46.4
201202,48.8
201203,61.7
201204,62.0
201205,70.3
201206,73.9
201207,79.8
201208,75.2
201209,69.9
201210,59.2
201211,47.8
201212,48.5
201301,47.4
201302,43.9
201303,46.2
201304,59.3
201305,64.5
201306,75.0
201307,75.1
201308,74.4
201309,70.6
201310,60.6
201311,48.1
201312,45.2
201401,33.8
201402,44.0
201403,49.2
201404,59.3
201405,67.2
201406,75.4
201407,74.9
201408,75.6
201409,72.7
201410,62.0
201411,45.0
201412,46.9
201501,40.1
201502,37.9
201503,54.2
201504,62.8
201505,69.6
201506,77.0
201507,79.5
201508,77.1
201509,71.4
201510,61.9
201511,55.5
201512,55.6
201601,40.2
201602,46.6
201603,56.8
201604,61.6
201605,68.2
201606,77.2
201607,81.0
201608,80.7
201609,76.4
201610,65.7
201611,54.2
201612,46.1
