Walton County, Georgia, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,38.4
201002,38.7
201003,49.7
201004,62.8
201005,70.9
201006,79.6
201007,80.6
201008,80.6
201009,74.8
201010,62.6
201011,52.1
201012,36.9
201101,39.2
201102,47.8
201103,54.2
201104,63.2
201105,68.8
201106,79.3
201107,81.0
201108,80.8
201109,71.6
201110,59.4
201111,53.2
201112,48.2
201201,46.5
201202,48.5
201203,62.5
201204,63.5
201205,71.6
201206,74.6
201207,81.8
201208,76.6
201209,71.7
201210,61.5
201211,50.3
201212,49.0
201301,48.5
201302,44.3
201303,47.5
201304,60.4
201305,65.6
201306,75.7
201307,76.3
201308,75.4
201309,71.7
201310,62.2
201311,48.8
201312,46.4
201401,35.8
201402,46.0
201403,49.8
201404,61.2
201405,69.4
201406,77.0
201407,77.0
201408,76.9
201409,73.5
201410,63.4
201411,46.9
201412,48.3
201501,41.1
201502,38.8
201503,55.2
201504,63.4
201505,70.8
201506,78.5
201507,80.6
201508,78.4
201509,71.8
201510,61.8
201511,56.1
201512,55.5
201601,41.1
201602,46.6
201603,58.6
201604,61.7
201605,68.9
201606,79.2
201607,82.1
201608,80.9
201609,76.8
201610,66.5
201611,56.1
201612,46.6
