Clayton County, Iowa, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,13.1
201002,18.7
201003,39.3
201004,52.9
201005,59.4
201006,69.0
201007,73.7
201008,73.1
201009,61.5
201010,52.2
201011,37.0
201012,15.3
201101,13.9
201102,21.0
201103,32.7
201104,45.1
201105,57.5
201106,68.6
201107,76.5
201108,70.6
201109,58.9
201110,51.8
201111,38.9
201112,29.0
201201,23.2
201202,29.0
201203,49.7
201204,48.4
201205,63.2
201206,69.8
201207,77.9
201208,69.4
201209,60.5
201210,47.7
201211,37.8
201212,27.4
201301,20.0
201302,20.9
201303,26.3
201304,42.2
201305,58.7
201306,67.4
201307,71.2
201308,70.1
201309,64.6
201310,49.2
201311,32.6
201312,15.0
201401,8.9
201402,8.4
201403,26.4
201404,44.9
201405,58.3
201406,69.8
201407,67.8
201408,70.3
201409,61.0
201410,48.3
201411,28.1
201412,27.6
201501,18.1
201502,9.5
201503,32.8
201504,48.6
201505,59.6
201506,66.9
201507,70.1
201508,67.7
201509,67.7
201510,51.6
201511,41.3
201512,34.1
201601,18.0
201602,26.2
201603,39.9
201604,47.8
201605,58.2
201606,69.5
201607,71.6
201608,71.3
201609,65.9
201610,54.3
201611,44.3
201612,21.3
