Lyon County, Iowa, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,10.5
201002,14.5
201003,36.9
201004,53.4
201005,58.1
201006,68.9
201007,73.4
201008,74.0
201009,60.3
201010,52.2
201011,34.0
201012,15.7
201101,10.4
201102,18.1
201103,30.6
201104,44.7
201105,57.7
201106,67.7
201107,77.2
201108,70.3
201109,58.9
201110,52.4
201111,35.5
201112,25.6
201201,23.6
201202,26.1
201203,49.3
201204,51.9
201205,63.0
201206,71.8
201207,79.2
201208,71.0
201209,61.7
201210,45.6
201211,35.8
201212,22.9
201301,17.8
201302,22.1
201303,27.9
201304,39.0
201305,56.6
201306,67.6
201307,72.2
201308,70.8
201309,66.1
201310,48.3
201311,31.2
201312,12.9
201401,12.9
201402,12.0
201403,28.8
201404,45.8
201405,58.4
201406,68.3
201407,68.5
201408,69.5
201409,61.2
201410,50.5
201411,26.6
201412,24.7
201501,20.1
201502,14.8
201503,37.3
201504,50.0
201505,57.8
201506,69.0
201507,71.7
201508,68.2
201509,67.1
201510,52.8
201511,38.3
201512,26.7
201601,16.8
201602,26.4
201603,40.0
201604,48.2
201605,58.7
201606,72.2
201607,72.0
201608,70.8
201609,64.8
201610,51.6
201611,41.8
201612,19.3
