O'Brien County, Iowa, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,9.9
201002,14.2
201003,36.1
201004,53.3
201005,58.4
201006,69.0
201007,73.4
201008,73.5
201009,60.6
201010,52.6
201011,34.6
201012,16.2
201101,10.6
201102,18.6
201103,31.5
201104,44.9
201105,57.5
201106,68.1
201107,77.4
201108,70.7
201109,59.3
201110,52.5
201111,35.9
201112,25.7
201201,23.8
201202,25.3
201203,49.5
201204,51.6
201205,63.7
201206,71.4
201207,78.8
201208,70.3
201209,61.6
201210,46.1
201211,36.8
201212,23.8
201301,18.6
201302,22.3
201303,27.3
201304,39.6
201305,56.2
201306,67.8
201307,72.3
201308,70.9
201309,66.0
201310,48.9
201311,31.9
201312,13.4
201401,12.9
201402,11.5
201403,28.8
201404,45.6
201405,58.7
201406,68.6
201407,68.1
201408,69.3
201409,61.2
201410,50.7
201411,26.1
201412,24.9
201501,19.8
201502,14.5
201503,37.3
201504,49.8
201505,58.3
201506,69.1
201507,71.6
201508,67.8
201509,66.9
201510,52.8
201511,38.8
201512,27.5
201601,16.6
201602,25.7
201603,40.5
201604,48.4
201605,58.9
201606,72.4
201607,72.3
201608,70.7
201609,64.9
201610,52.6
201611,43.0
201612,20.1
