Gem County, Idaho, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,33.1
201002,35.4
201003,41.0
201004,45.0
201005,49.5
201006,61.5
201007,70.7
201008,68.9
201009,62.2
201010,53.4
201011,35.5
201012,29.9
201101,27.0
201102,30.9
201103,39.4
201104,42.0
201105,51.6
201106,59.7
201107,69.9
201108,73.2
201109,66.2
201110,50.4
201111,35.2
201112,28.3
201201,30.9
201202,33.1
201203,41.6
201204,49.6
201205,54.2
201206,61.8
201207,75.4
201208,72.7
201209,62.8
201210,48.0
201211,40.3
201212,32.1
201301,19.3
201302,32.7
201303,41.3
201304,46.7
201305,57.0
201306,65.3
201307,77.4
201308,74.4
201309,62.5
201310,47.2
201311,37.3
201312,22.7
201401,28.6
201402,34.1
201403,42.5
201404,47.2
201405,57.5
201406,63.2
201407,76.5
201408,71.1
201409,63.8
201410,53.4
201411,33.5
201412,33.8
201501,30.2
201502,40.4
201503,46.2
201504,48.0
201505,58.6
201506,71.9
201507,72.7
201508,72.9
201509,62.5
201510,55.8
201511,34.7
201512,29.0
201601,29.8
201602,37.2
201603,43.0
201604,53.2
201605,57.2
201606,67.0
201607,71.2
201608,71.2
201609,60.4
201610,51.0
201611,42.8
201612,20.4
