Fulton County, Illinois, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,18.8
201002,23.3
201003,43.4
201004,59.0
201005,63.3
201006,74.4
201007,77.2
201008,75.9
201009,66.4
201010,55.8
201011,43.2
201012,23.6
201101,20.6
201102,28.2
201103,41.0
201104,51.7
201105,61.7
201106,71.8
201107,80.1
201108,74.8
201109,62.6
201110,54.6
201111,44.5
201112,34.6
201201,30.3
201202,34.6
201203,54.4
201204,54.1
201205,67.6
201206,72.1
201207,81.5
201208,73.2
201209,64.2
201210,51.4
201211,40.8
201212,34.8
201301,27.8
201302,28.2
201303,33.1
201304,48.8
201305,63.4
201306,71.2
201307,73.2
201308,73.0
201309,68.3
201310,53.0
201311,37.6
201312,23.8
201401,17.7
201402,16.8
201403,33.2
201404,51.8
201405,64.0
201406,72.9
201407,70.5
201408,73.6
201409,64.4
201410,53.4
201411,33.8
201412,32.4
201501,24.7
201502,18.5
201503,38.6
201504,54.6
201505,64.9
201506,71.6
201507,74.0
201508,71.5
201509,71.0
201510,55.4
201511,46.3
201512,39.7
201601,25.3
201602,32.6
201603,46.3
201604,52.3
201605,61.9
201606,74.7
201607,74.7
201608,74.8
201609,70.3
201610,58.8
201611,48.0
201612,27.8
