Pike County, Illinois, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,21.6
201002,25.5
201003,44.4
201004,60.2
201005,64.0
201006,76.0
201007,78.2
201008,77.2
201009,68.0
201010,57.2
201011,45.1
201012,26.2
201101,23.2
201102,30.7
201103,43.1
201104,54.3
201105,61.9
201106,73.4
201107,81.0
201108,76.2
201109,64.4
201110,56.7
201111,46.8
201112,36.4
201201,33.0
201202,37.7
201203,56.2
201204,56.3
201205,68.7
201206,73.1
201207,82.8
201208,74.7
201209,65.4
201210,53.9
201211,42.6
201212,37.2
201301,30.6
201302,30.9
201303,34.9
201304,50.6
201305,63.4
201306,72.5
201307,74.2
201308,73.7
201309,70.0
201310,55.1
201311,40.2
201312,27.8
201401,21.7
201402,20.9
201403,36.0
201404,53.6
201405,64.6
201406,74.2
201407,71.6
201408,75.2
201409,65.7
201410,55.5
201411,36.4
201412,35.0
201501,28.3
201502,22.0
201503,40.2
201504,56.7
201505,65.6
201506,72.7
201507,75.0
201508,73.0
201509,71.9
201510,57.0
201511,47.7
201512,41.4
201601,27.8
201602,36.1
201603,48.7
201604,55.2
201605,63.1
201606,77.4
201607,76.2
201608,75.9
201609,71.9
201610,61.5
201611,50.2
201612,29.8
