Williamson County, Illinois, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,28.4
201002,31.1
201003,46.9
201004,61.2
201005,67.8
201006,78.8
201007,80.2
201008,79.4
201009,69.7
201010,58.2
201011,47.1
201012,29.4
201101,29.0
201102,36.8
201103,46.7
201104,59.6
201105,64.8
201106,76.7
201107,81.8
201108,77.5
201109,66.4
201110,57.0
201111,49.3
201112,39.7
201201,37.7
201202,41.0
201203,59.6
201204,59.0
201205,70.9
201206,74.3
201207,84.1
201208,76.1
201209,67.8
201210,55.4
201211,43.6
201212,41.8
201301,35.3
201302,36.8
201303,39.7
201304,54.7
201305,65.4
201306,73.8
201307,73.9
201308,74.5
201309,70.8
201310,57.5
201311,42.3
201312,32.8
201401,26.9
201402,29.2
201403,40.4
201404,56.7
201405,66.8
201406,74.9
201407,71.9
201408,76.2
201409,67.0
201410,58.5
201411,38.5
201412,38.1
201501,32.0
201502,25.4
201503,43.1
201504,58.6
201505,66.7
201506,74.8
201507,78.3
201508,73.8
201509,70.4
201510,58.0
201511,50.4
201512,46.2
201601,32.3
201602,38.5
201603,51.1
201604,57.3
201605,63.3
201606,76.6
201607,78.6
201608,77.3
201609,72.0
201610,62.8
201611,49.8
201612,34.8
