Johnson County, Indiana, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,24.2
201002,25.0
201003,43.9
201004,58.0
201005,64.5
201006,74.3
201007,76.4
201008,75.8
201009,67.8
201010,55.7
201011,42.8
201012,24.1
201101,23.7
201102,32.9
201103,42.6
201104,53.9
201105,62.2
201106,72.0
201107,79.5
201108,73.7
201109,64.0
201110,53.7
201111,47.5
201112,36.9
201201,33.0
201202,36.4
201203,55.3
201204,52.8
201205,68.0
201206,72.0
201207,81.4
201208,72.7
201209,63.9
201210,51.8
201211,40.1
201212,38.4
201301,29.9
201302,31.0
201303,35.4
201304,51.7
201305,64.9
201306,71.0
201307,72.4
201308,71.9
201309,67.4
201310,53.9
201311,39.0
201312,30.1
201401,20.0
201402,23.3
201403,35.6
201404,53.3
201405,63.1
201406,72.5
201407,69.0
201408,72.1
201409,64.0
201410,54.0
201411,35.7
201412,34.3
201501,26.3
201502,19.8
201503,38.1
201504,53.5
201505,65.6
201506,71.4
201507,73.1
201508,70.2
201509,68.9
201510,56.1
201511,47.1
201512,42.6
201601,27.7
201602,34.8
201603,48.2
201604,52.9
201605,60.8
201606,73.2
201607,74.4
201608,75.8
201609,70.0
201610,59.9
201611,46.9
201612,30.3
