Vigo County, Indiana, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,23.8
201002,26.4
201003,44.6
201004,59.4
201005,64.9
201006,76.0
201007,77.9
201008,77.6
201009,68.7
201010,56.8
201011,43.4
201012,25.0
201101,24.2
201102,33.3
201103,43.4
201104,55.0
201105,63.4
201106,73.6
201107,80.2
201108,74.8
201109,65.3
201110,54.9
201111,48.1
201112,37.6
201201,33.6
201202,36.9
201203,56.7
201204,55.4
201205,69.6
201206,73.1
201207,83.2
201208,74.5
201209,65.7
201210,53.4
201211,41.7
201212,38.4
201301,30.5
201302,32.3
201303,35.6
201304,52.4
201305,64.9
201306,71.8
201307,73.5
201308,73.1
201309,68.6
201310,55.2
201311,40.3
201312,29.9
201401,21.6
201402,22.0
201403,36.6
201404,54.5
201405,64.4
201406,74.2
201407,70.4
201408,73.9
201409,64.8
201410,54.7
201411,36.0
201412,34.9
201501,27.5
201502,20.4
201503,38.4
201504,54.8
201505,66.4
201506,72.9
201507,75.0
201508,72.4
201509,69.6
201510,57.0
201511,48.0
201512,43.0
201601,29.0
201602,34.9
201603,48.8
201604,54.1
201605,62.2
201606,75.2
201607,76.2
201608,77.2
201609,71.2
201610,61.2
201611,48.0
201612,30.4
