Morris County, Kansas, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,23.6
201002,28.9
201003,43.6
201004,59.2
201005,62.8
201006,77.0
201007,79.4
201008,79.7
201009,70.0
201010,59.0
201011,44.3
201012,30.8
201101,25.1
201102,28.6
201103,43.5
201104,55.1
201105,63.0
201106,76.6
201107,85.4
201108,80.6
201109,65.6
201110,57.6
201111,43.7
201112,35.0
201201,35.5
201202,37.3
201203,57.1
201204,59.9
201205,69.8
201206,75.9
201207,85.1
201208,76.0
201209,67.4
201210,54.5
201211,46.7
201212,34.7
201301,32.4
201302,32.9
201303,38.1
201304,48.8
201305,62.9
201306,74.0
201307,76.2
201308,75.9
201309,71.9
201310,55.6
201311,41.0
201312,27.8
201401,27.3
201402,26.2
201403,40.0
201404,54.3
201405,65.8
201406,73.4
201407,75.1
201408,79.1
201409,67.4
201410,58.8
201411,37.4
201412,34.6
201501,30.8
201502,28.1
201503,45.0
201504,56.1
201505,62.7
201506,75.5
201507,79.0
201508,74.7
201509,74.0
201510,59.2
201511,48.9
201512,38.2
201601,30.7
201602,40.8
201603,50.6
201604,58.0
201605,62.7
201606,78.4
201607,79.7
201608,77.1
201609,71.1
201610,61.7
201611,51.3
201612,30.4
